"month_year","monthly_precipitation_total_inches"
Jan 1998,0.42519708
Feb 1998,0.16141741
Mar 1998,1.22834712
Apr 1998,0.9055123
May 1998,0.787402
Jun 1998,2.83071019
Jul 1998,1.47244174
Aug 1998,0.80708705
Sep 1998,0.93307137
Oct 1998,1.59448905
Nov 1998,0.94881941
Dec 1998,0.20078751
Jan 1999,1.18504001
Feb 1999,0.11023628
Mar 1999,0.1181103
Apr 1999,2.90551338
May 1999,1.01181157
Jun 1999,1.1023628
Jul 1999,0.25590565
Aug 1999,1.75984347
Sep 1999,0.96456745
Oct 1999,0.23228359
Nov 1999,0.77952798
Dec 1999,0.1181103
