GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B18AA1970,B18AA1980,B18AA1990,B18AA2000,B18AA2010,B18AB1970,B18AB1980,B18AB1990,B18AB2000,B18AB2010,B18AC1970,B18AC1980,B18AC1990,B18AC2000,B18AC2010,B18AD1970,B18AD1980,B18AD1990,B18AD2000,B18AD2010,B18AE2000,B18AE2010
G3100010,Nebraska,31,310,Adams County,1,10,30325,30315,29084,29451,28821,123,87,181,200,248,40,37,105,112,131,65,54,255,1129,1742,259,422
G3100030,Nebraska,31,310,Antelope County,3,30,9034,8651,7930,7364,6517,0,5,2,4,19,5,13,20,23,11,8,6,13,25,97,36,41
G3100050,Nebraska,31,310,Arthur County,5,50,605,513,459,428,439,0,0,0,0,0,0,0,2,1,2,1,0,1,8,15,7,4
G3100070,Nebraska,31,310,Banner County,7,70,1032,913,832,785,660,1,0,1,1,0,1,5,3,2,3,0,0,16,26,22,5,5
G3100090,Nebraska,31,310,Blaine County,9,90,844,864,671,577,474,0,0,1,0,1,2,0,1,3,0,1,0,2,0,0,3,3
G3100110,Nebraska,31,310,Boone County,11,110,8180,7384,6648,6212,5422,1,0,2,3,23,3,7,11,3,12,6,0,6,23,30,18,18
G3100130,Nebraska,31,310,Box Butte County,13,130,9669,13107,12501,11044,10149,36,19,49,45,52,307,232,302,333,409,82,50,278,498,415,238,283
G3100150,Nebraska,31,310,Boyd County,15,150,3736,3331,2810,2411,2035,0,0,0,0,1,15,0,22,14,12,1,0,3,4,31,9,20
G3100170,Nebraska,31,310,Brown County,17,170,3991,4361,3636,3477,3088,2,0,1,1,2,18,0,11,7,9,10,16,9,18,20,22,26
G3100190,Nebraska,31,310,Buffalo County,19,190,30998,34112,36430,40221,42746,87,34,166,232,383,73,80,118,140,129,64,132,733,1231,2221,435,623
G3100210,Nebraska,31,310,Burt County,21,210,9166,8732,7749,7606,6579,3,0,8,14,26,68,60,70,83,115,10,13,41,34,54,54,84
G3100230,Nebraska,31,310,Butler County,23,230,9450,9312,8560,8625,8192,0,3,10,9,24,4,4,17,11,11,7,8,14,87,111,35,57
G3100250,Nebraska,31,310,Cass County,25,250,18005,20092,21033,23821,24457,14,88,42,43,87,17,13,109,72,83,40,60,134,175,248,223,366
G3100270,Nebraska,31,310,Cedar County,27,270,12166,11355,10099,9526,8703,4,0,6,10,7,16,4,14,19,22,6,14,12,22,59,38,61
G3100290,Nebraska,31,310,Chase County,29,290,4128,4665,4349,3979,3644,0,0,1,7,5,0,33,6,4,3,1,2,25,68,266,10,48
G3100310,Nebraska,31,310,Cherry County,31,310,6745,6663,6107,5791,5180,4,0,3,4,13,85,85,177,200,335,12,0,20,47,44,106,141
G3100330,Nebraska,31,310,Cheyenne County,33,330,10729,9926,9250,9470,9404,12,18,8,14,19,13,41,73,64,66,24,43,163,186,382,96,127
G3100350,Nebraska,31,310,Clay County,35,350,8244,8059,7067,6868,6082,2,0,1,12,22,8,11,17,22,31,12,2,38,108,312,29,95
G3100370,Nebraska,31,310,Colfax County,37,370,9487,9808,9002,8533,7635,0,2,3,7,89,4,5,32,20,114,7,11,102,1700,2464,181,213
G3100390,Nebraska,31,310,Cuming County,39,390,12027,11641,10076,9783,8518,1,4,8,13,13,4,2,10,29,29,2,11,23,291,477,87,102
G3100410,Nebraska,31,310,Custer County,41,410,14054,13820,12152,11631,10663,1,0,3,8,28,17,45,68,48,35,20,8,47,41,105,65,108
G3100430,Nebraska,31,310,Dakota County,43,430,12932,15957,15481,15968,14810,39,27,76,126,660,150,203,302,377,566,16,114,883,3251,4487,531,483
