Date,NDVI
01-Apr-18,
02-Apr-18,
03-Apr-18,
04-Apr-18,
05-Apr-18,
06-Apr-18,
07-Apr-18,
08-Apr-18,0.113334583
09-Apr-18,0.115170028
10-Apr-18,0.104338571
11-Apr-18,
12-Apr-18,
13-Apr-18,
14-Apr-18,
15-Apr-18,0.123802146
16-Apr-18,
17-Apr-18,
18-Apr-18,
19-Apr-18,0.135098218
20-Apr-18,0.14219215
21-Apr-18,0.145153149
22-Apr-18,0.151929866
23-Apr-18,
24-Apr-18,0.16926012
25-Apr-18,0.1715924
26-Apr-18,0.177287439
27-Apr-18,0.189739973
28-Apr-18,0.198513954
29-Apr-18,0.188249939
30-Apr-18,
01-May-18,0.213623717
02-May-18,0.223849049
03-May-18,0.230260697
04-May-18,0.240677596
05-May-18,
06-May-18,0.262579619
07-May-18,0.262937572
08-May-18,
09-May-18,0.26020578
10-May-18,
11-May-18,
12-May-18,
13-May-18,
14-May-18,
15-May-18,
16-May-18,
17-May-18,
18-May-18,
19-May-18,
20-May-18,
21-May-18,
22-May-18,
23-May-18,
24-May-18,
25-May-18,
26-May-18,
27-May-18,
28-May-18,
29-May-18,
30-May-18,
31-May-18,
01-Jun-18,
02-Jun-18,
03-Jun-18,
04-Jun-18,
05-Jun-18,
06-Jun-18,
07-Jun-18,
08-Jun-18,
09-Jun-18,
10-Jun-18,
11-Jun-18,
12-Jun-18,
13-Jun-18,0.294216893
14-Jun-18,0.290642841
15-Jun-18,0.289337083
16-Jun-18,0.306199603
17-Jun-18,0.355693988
18-Jun-18,0.36814338
19-Jun-18,0.370549438
20-Jun-18,0.334538504
21-Jun-18,0.32212069
22-Jun-18,0.334895548
23-Jun-18,0.339684257
24-Jun-18,0.341426098
25-Jun-18,0.333540105
26-Jun-18,0.329042205
27-Jun-18,0.346251461
28-Jun-18,0.363647955
29-Jun-18,0.363845463
30-Jun-18,0.352464905
01-Jul-18,0.327461537
02-Jul-18,0.322484573
03-Jul-18,0.331382014
04-Jul-18,0.329644812
05-Jul-18,0.324670826
06-Jul-18,0.32612471
07-Jul-18,0.319924763
08-Jul-18,0.313847604
09-Jul-18,0.313210394
10-Jul-18,0.312693664
11-Jul-18,0.306578128
12-Jul-18,0.301540879
13-Jul-18,0.300323822
14-Jul-18,0.298457914
15-Jul-18,0.289648173
16-Jul-18,0.284433667
17-Jul-18,0.326768803
18-Jul-18,0.295469682
19-Jul-18,0.28754046
20-Jul-18,0.281200626
21-Jul-18,0.272701725
22-Jul-18,0.277252962
23-Jul-18,0.271272295
24-Jul-18,0.260732398
25-Jul-18,0.257809062
26-Jul-18,0.253895952
27-Jul-18,0.249475308
28-Jul-18,0.246230583
29-Jul-18,0.242918739
30-Jul-18,0.245650983
31-Jul-18,0.238788941
01-Aug-18,0.224116344
02-Aug-18,0.237587586
03-Aug-18,0.231893922
04-Aug-18,0.229764336
05-Aug-18,0.212252394
06-Aug-18,0.226634204
07-Aug-18,0.225819886
08-Aug-18,0.22265359
09-Aug-18,0.223382276
10-Aug-18,0.212657769
