"hour","day","year","mean_pressure_Kpa","time"
"12",230,2017,81.3,2017-08-18 12:00:00
"13",230,2017,81.25,2017-08-18 13:00:00
"14",230,2017,81.19,2017-08-18 14:00:00
"15",230,2017,81.145,2017-08-18 15:00:00
"16",230,2017,81.09,2017-08-18 16:00:00
"17",230,2017,81.05,2017-08-18 17:00:00
"18",230,2017,81.04,2017-08-18 18:00:00
"19",230,2017,81.035,2017-08-18 19:00:00
"20",230,2017,81.055,2017-08-18 20:00:00
"21",230,2017,81.05,2017-08-18 21:00:00
"22",230,2017,81.06,2017-08-18 22:00:00
"23",230,2017,81.055,2017-08-18 23:00:00
"00",231,2017,81.09,2017-08-19 00:00:00
"01",231,2017,81.11,2017-08-19 01:00:00
"02",231,2017,81.105,2017-08-19 02:00:00
"03",231,2017,81.07,2017-08-19 03:00:00
"04",231,2017,81.065,2017-08-19 04:00:00
"05",231,2017,81.07,2017-08-19 05:00:00
"06",231,2017,81.1,2017-08-19 06:00:00
"07",231,2017,81.115,2017-08-19 07:00:00
"08",231,2017,81.15,2017-08-19 08:00:00
"09",231,2017,81.16,2017-08-19 09:00:00
"10",231,2017,81.14,2017-08-19 10:00:00
"11",231,2017,81.12,2017-08-19 11:00:00
"12",231,2017,81.075,2017-08-19 12:00:00
"13",231,2017,81.005,2017-08-19 13:00:00
"14",231,2017,80.96,2017-08-19 14:00:00
"15",231,2017,80.93,2017-08-19 15:00:00
"16",231,2017,80.885,2017-08-19 16:00:00
"17",231,2017,80.85,2017-08-19 17:00:00
"18",231,2017,80.83,2017-08-19 18:00:00
"20",231,2017,80.88,2017-08-19 20:00:00
"21",231,2017,80.94,2017-08-19 21:00:00
"22",231,2017,81.015,2017-08-19 22:00:00
"23",231,2017,81.09,2017-08-19 23:00:00
"00",232,2017,81.135,2017-08-20 00:00:00
"01",232,2017,81.17,2017-08-20 01:00:00
"02",232,2017,81.18,2017-08-20 02:00:00
"03",232,2017,81.19,2017-08-20 03:00:00
"04",232,2017,81.205,2017-08-20 04:00:00
"05",232,2017,81.19,2017-08-20 05:00:00
"06",232,2017,81.2,2017-08-20 06:00:00
"07",232,2017,81.25,2017-08-20 07:00:00
"08",232,2017,81.27,2017-08-20 08:00:00
"09",232,2017,81.305,2017-08-20 09:00:00
"10",232,2017,81.285,2017-08-20 10:00:00
"11",232,2017,81.265,2017-08-20 11:00:00
"12",232,2017,81.22,2017-08-20 12:00:00
"13",232,2017,81.17,2017-08-20 13:00:00
"14",232,2017,81.13,2017-08-20 14:00:00
"15",232,2017,81.075,2017-08-20 15:00:00
"16",232,2017,81.03,2017-08-20 16:00:00
"17",232,2017,81.01,2017-08-20 17:00:00
"18",232,2017,81.025,2017-08-20 18:00:00
"19",232,2017,81.015,2017-08-20 19:00:00
"20",232,2017,81.045,2017-08-20 20:00:00
"21",232,2017,81.1,2017-08-20 21:00:00
"22",232,2017,81.175,2017-08-20 22:00:00
"23",232,2017,81.235,2017-08-20 23:00:00
"00",233,2017,81.29,2017-08-21 00:00:00
"01",233,2017,81.325,2017-08-21 01:00:00
"02",233,2017,81.34,2017-08-21 02:00:00
"03",233,2017,81.36,2017-08-21 03:00:00
"04",233,2017,81.36,2017-08-21 04:00:00
"05",233,2017,81.375,2017-08-21 05:00:00
"06",233,2017,81.42,2017-08-21 06:00:00
"07",233,2017,81.46,2017-08-21 07:00:00
"08",233,2017,81.51,2017-08-21 08:00:00
"09",233,2017,81.55,2017-08-21 09:00:00
"10",233,2017,81.545,2017-08-21 10:00:00
"11",233,2017,81.55,2017-08-21 11:00:00
"12",233,2017,81.57,2017-08-21 12:00:00
"13",233,2017,81.555,2017-08-21 13:00:00
"14",233,2017,81.53,2017-08-21 14:00:00
"15",233,2017,81.48,2017-08-21 15:00:00
